AREA,PERIMETER,ELTCODE,LTACODE,NOTES,SUBSECTION,ELT,PLASS1,PLASS2,SOIL,SLOPE,LNDFM,ASPECT,ELTP,ELT_NAME,SUBSECTI_1,LTA_NAME,Shape_Length,Shape_Area
52233.80078125,986.614013671875,905,Ba10, ,M221Ba,Ba10-23,230.0,238,Ca,CE,42.0,SE,210053.0,Allegheny Front sugar maple/red oak,Northern High Allegheny Mountains,Allegheny Front Sideslopes,986.6137723273856,52233.84375
2424.340087890625,225.90499877929688,906,Ba10, ,M221Ba,Ba10-22,220.0,210,Ca,F,42.0,CE,210054.0,Allegheny Front sugar maple/basswood,Northern High Allegheny Mountains,Allegheny Front Sideslopes,225.9052585009326,2424.34375
675909.0,20351.80078125,342,Ba10, ,M221Ba,Ba10-21,212.0,888,Gc,EF,50.0,NW,210042.0,Allegheny Front hemlock,Northern High Allegheny Mountains,Allegheny Front Sideslopes,20351.841870060915,675908.578125
23332.400390625,741.3250122070312,914,Ba10, ,M221Ba,Ba10-22,220.0,888,Ch,F,50.0,Z,210062.0,Allegheny Front sugar maple/basswood,Northern High Allegheny Mountains,Allegheny Front Sideslopes,741.3252955204775,23332.375
173436.0,2283.4599609375,902,Ba10, ,M221Ba,Ba10-23,239.0,888,Ca,CD,42.0,SW,210050.0,Allegheny Front sugar maple/red oak,Northern High Allegheny Mountains,Allegheny Front Sideslopes,2283.456989735273,173436.40625
248.6719970703125,75.24469757080078,931,Ba10, ,M221Ba,Ba10-23,238.0,240,Da,F,44.0,NW,210079.0,Allegheny Front sugar maple/red oak,Northern High Allegheny Mountains,Allegheny Front Sideslopes,75.24473886653371,248.671875
176156.0,2118.52001953125,905,Ba10, ,M221Ba,Ba10-23,230.0,238,Ca,CE,42.0,SE,210053.0,Allegheny Front sugar maple/red oak,Northern High Allegheny Mountains,Allegheny Front Sideslopes,2118.516894036323,176155.515625
371288.0,3463.5400390625,908,Ba10, ,M221Ba,Ba10-23,239.0,200,Dm,F,44.0,SW,210056.0,Allegheny Front sugar maple/red oak,Northern High Allegheny Mountains,Allegheny Front Sideslopes,3463.541636392274,371287.59375
54904.3984375,2707.0400390625,911,Ba10, ,M221Ba,Ba10-47,470.0,888,Dm,F,11.0,Z,210059.0,Allegheny Front chestnut oak/red oak,Northern High Allegheny Mountains,Allegheny Front Sideslopes,2707.0409817248865,54904.390625
5245.52978515625,407.37701416015625,906,Ba10, ,M221Ba,Ba10-22,220.0,210,Ca,F,42.0,CE,210054.0,Allegheny Front sugar maple/basswood,Northern High Allegheny Mountains,Allegheny Front Sideslopes,407.3772737336829,5245.53125
