CN,PLT_CN,INVYR,STATECD,COUNTYCD,O3PLOT,FIELD_ID,SPLIT_PLOTID,SMPKNDCD,MEASDAY,MEASMON,MEASYEAR,PLTSIZE,ASPECT,TERRPOS,SOILDPTH,SOILDRN,PLTDSTRB,CRWTYPCD,PLOTWET,INJCHECK,GRIDDEN,CREATED_DATE,MODIFIED_DATE
2016521000333,159626941010661,1995,54,11,6901.0,690,1,1,11,8,1995,1.0,0,1.0,1.0,1.0,0.0,1,,0,,2008-06-20 09:50:55,2010-09-10 07:46:38
2016530000333,159626943010661,1995,54,33,10361.0,1036,1,1,16,8,1995,2.0,0,1.0,1.0,1.0,0.0,1,,0,,2008-06-20 09:50:55,2010-09-10 07:46:43
2016520000333,159626945010661,1995,54,35,7261.0,726,1,1,11,8,1995,3.0,0,1.0,1.0,1.0,0.0,1,,0,,2008-06-20 09:50:55,2010-09-10 07:46:38
2016518000333,159626949010661,1995,54,39,3131.0,313,1,1,9,8,1995,2.0,0,1.0,1.0,1.0,0.0,1,,0,,2008-06-20 09:50:55,2010-09-10 07:46:38
2016516000333,159626947010661,1995,54,39,4271.0,427,1,1,9,8,1995,2.0,0,2.0,1.0,1.0,2.0,1,,0,,2008-06-20 09:50:55,2010-09-10 07:46:37
2016519000333,159626951010661,1995,54,39,6961.0,696,1,1,15,8,1995,3.0,0,1.0,1.0,1.0,0.0,1,,0,,2008-06-20 09:50:55,2010-09-10 07:46:38
2016515000333,159626955010661,1995,54,41,4471.0,447,1,1,10,8,1995,2.0,0,4.0,1.0,1.0,0.0,1,,0,,2008-06-20 09:50:55,2010-09-10 07:46:37
2016500000333,159626953010661,1995,54,41,13521.0,1352,1,1,22,8,1995,1.0,180,3.0,1.0,1.0,2.0,1,,0,,2008-06-20 09:50:55,2010-09-10 07:46:31
2016537000333,159626957010661,1995,54,51,15441.0,1544,1,1,11,8,1995,3.0,0,4.0,1.0,1.0,0.0,1,,0,,2008-06-20 09:50:55,2010-09-10 07:46:50
2016507000333,159626959010661,1995,54,55,51.0,5,1,1,15,8,1995,2.0,0,4.0,1.0,1.0,0.0,1,,0,,2008-06-20 09:50:55,2010-09-10 07:46:34
2016508000333,159626961010661,1995,54,55,13611.0,1361,1,1,15,8,1995,2.0,0,2.0,1.0,1.0,0.0,1,,0,,2008-06-20 09:50:55,2010-09-10 07:46:35
2016529000333,159626963010661,1995,54,61,8351.0,835,1,1,8,8,1995,2.0,0,1.0,1.0,1.0,0.0,1,,0,,2008-06-20 09:50:55,2010-09-10 07:46:43
2016528000333,159626967010661,1995,54,77,6871.0,687,1,1,9,8,1995,2.0,0,1.0,1.0,1.0,0.0,1,,0,,2008-06-20 09:50:55,2010-09-10 07:46:43
2016525000333,159626965010661,1995,54,77,13351.0,1335,1,1,14,8,1995,2.0,0,1.0,1.0,1.0,2.0,1,,0,,2008-06-20 09:50:55,2010-09-10 07:46:42
2016517000333,159626969010661,1995,54,79,291.0,29,1,1,10,8,1995,2.0,244,3.0,1.0,1.0,0.0,1,,0,,2008-06-20 09:50:55,2010-09-10 07:46:37
2016509000333,159626971010661,1995,54,81,12431.0,1243,1,1,15,8,1995,2.0,0,5.0,1.0,1.0,0.0,1,,0,,2008-06-20 09:50:55,2010-09-10 07:46:35
2016526000333,159626973010661,1995,54,91,81.0,8,1,1,16,8,1995,2.0,0,1.0,1.0,1.0,0.0,1,,0,,2008-06-20 09:50:55,2010-09-10 07:46:42
2016499000333,159626975010661,1995,54,99,15581.0,1558,1,1,9,8,1995,1.0,250,3.0,1.0,1.0,2.0,1,,0,,2008-06-20 09:50:55,2010-09-10 07:46:31
2016154000333,159627469010661,1996,54,19,1591.0,159,1,1,6,8,1996,2.0,0,2.0,1.0,1.0,0.0,1,,0,,2008-06-20 09:50:56,2010-09-10 07:46:35
2016160000333,159627471010661,1996,54,19,4361.0,436,1,1,6,8,1996,2.0,0,1.0,1.0,1.0,0.0,1,,0,,2008-06-20 09:50:56,2010-09-10 07:46:37
2016174000333,159627473010661,1996,54,27,6591.0,659,1,1,13,8,1996,2.0,0,2.0,2.0,1.0,2.0,1,,0,,2008-06-20 09:50:56,2010-09-10 07:46:41
2016173000333,159627477010661,1996,54,31,6211.0,621,1,1,14,8,1996,2.0,0,5.0,1.0,2.0,0.0,1,,0,,2008-06-20 09:50:56,2010-09-10 07:46:41
2016158000333,159627475010661,1996,54,31,10611.0,1061,1,1,15,8,1996,1.0,0,1.0,1.0,2.0,2.0,1,,0,,2008-06-20 09:50:56,2010-09-10 07:46:36
2016181000333,159627479010661,1996,54,33,10361.0,1036,1,2,7,8,1996,2.0,0,5.0,1.0,1.0,0.0,1,,0,,2008-06-20 09:50:56,2010-09-10 07:47:35
2016167000333,159627481010661,1996,54,35,7261.0,726,1,2,7,8,1996,1.0,182,1.0,1.0,1.0,2.0,1,,0,,2008-06-20 09:50:56,2010-09-10 07:47:35
2016166000333,159627485010661,1996,54,39,3131.0,313,1,2,12,8,1996,1.0,186,3.0,1.0,1.0,0.0,1,,0,,2008-06-20 09:50:57,2010-09-10 07:47:35
2016164000333,159329529010661,1996,54,39,4271.0,427,1,2,5,8,1996,1.0,194,1.0,2.0,1.0,1.0,1,,0,,2010-06-09 10:21:41,2010-09-10 07:47:36
2016163000333,159627489010661,1996,54,41,4471.0,447,1,2,8,8,1996,2.0,112,1.0,1.0,1.0,0.0,1,,0,,2008-06-20 09:50:57,2010-09-10 07:47:35
2016143000333,159627487010661,1996,54,41,13521.0,1352,1,2,30,7,1996,1.0,180,3.0,1.0,1.0,2.0,1,,0,,2008-06-20 09:50:57,2010-09-10 07:47:35
2016184000333,159627491010661,1996,54,51,15441.0,1544,1,2,12,8,1996,3.0,0,5.0,1.0,2.0,0.0,1,,0,,2008-06-20 09:50:57,2010-09-10 07:47:35
2016150000333,159627493010661,1996,54,55,51.0,5,1,2,5,8,1996,2.0,0,1.0,1.0,1.0,0.0,1,,0,,2008-06-20 09:50:57,2010-09-10 07:47:35
2016151000333,159627495010661,1996,54,55,13611.0,1361,1,2,5,8,1996,2.0,0,1.0,1.0,1.0,2.0,1,,0,,2008-06-20 09:50:57,2010-09-10 07:47:35
2016179000333,159627497010661,1996,54,61,8351.0,835,1,2,5,8,1996,1.0,244,1.0,1.0,1.0,2.0,1,,0,,2008-06-20 09:50:57,2010-09-10 07:47:35
2016161000333,159627499010661,1996,54,67,2861.0,286,1,1,8,8,1996,2.0,147,3.0,1.0,1.0,0.0,1,,0,,2008-06-20 09:50:57,2010-09-10 07:46:37
2016178000333,159627503010661,1996,54,77,6871.0,687,1,2,6,8,1996,1.0,0,1.0,1.0,1.0,2.0,1,,0,,2008-06-20 09:50:57,2010-09-10 07:47:35
2016176000333,159627501010661,1996,54,77,13351.0,1335,1,2,6,8,1996,2.0,0,1.0,1.0,1.0,0.0,1,,0,,2008-06-20 09:50:57,2010-09-10 07:47:35
2016165000333,159627505010661,1996,54,79,291.0,29,1,2,5,8,1996,1.0,130,1.0,1.0,1.0,2.0,1,,0,,2008-06-20 09:50:57,2010-09-10 07:47:35
2016152000333,159627507010661,1996,54,81,10151.0,1015,1,1,5,8,1996,2.0,0,2.0,1.0,1.0,0.0,1,,0,,2008-06-20 09:50:57,2010-09-10 07:46:35
2016153000333,159627509010661,1996,54,81,12431.0,1243,1,2,6,8,1996,2.0,0,4.0,1.0,1.0,0.0,1,,0,,2008-06-20 09:50:57,2010-09-10 07:47:35
2016155000333,159627511010661,1996,54,81,14151.0,1415,1,1,6,8,1996,2.0,0,2.0,1.0,1.0,0.0,1,,0,,2008-06-20 09:50:57,2010-09-10 07:46:35
2016159000333,159627513010661,1996,54,83,3671.0,367,1,1,13,8,1996,2.0,182,1.0,1.0,1.0,0.0,1,,0,,2008-06-20 09:50:57,2010-09-10 07:46:37
2016177000333,159627517010661,1996,54,91,81.0,8,1,2,7,8,1996,3.0,112,1.0,1.0,1.0,2.0,1,,0,,2008-06-20 09:50:57,2010-09-10 07:47:35
2016180000333,159627519010661,1996,54,91,6911.0,691,1,1,8,8,1996,2.0,0,2.0,1.0,1.0,0.0,1,,0,,2008-06-20 09:50:57,2010-09-10 07:46:43
2016142000333,159627521010661,1996,54,99,15581.0,1558,1,2,14,8,1996,1.0,250,3.0,1.0,1.0,2.0,1,,0,,2008-06-20 09:50:57,2010-09-10 07:47:35
1974116000333,159626741010661,1997,54,17,831.0,83,1,1,12,8,1997,1.0,257,1.0,1.0,1.0,0.0,1,,0,,2008-06-20 09:50:54,2010-09-10 07:46:43
1974118000333,159626743010661,1997,54,19,4361.0,436,1,2,7,8,1997,2.0,60,1.0,1.0,1.0,0.0,1,,0,,2008-06-20 09:50:54,2010-09-10 07:47:35
1974119000333,159626745010661,1997,54,27,6591.0,659,1,2,11,8,1997,2.0,272,1.0,2.0,1.0,0.0,1,,0,,2008-06-20 09:50:54,2010-09-10 07:47:35
1974120000333,159626747010661,1997,54,31,10611.0,1061,1,2,11,8,1997,2.0,0,2.0,1.0,2.0,0.0,1,,0,,2008-06-20 09:50:54,2010-09-10 07:47:35
1974121000333,159626749010661,1997,54,33,10361.0,1036,1,2,13,8,1997,2.0,260,1.0,1.0,1.0,0.0,1,,0,,2008-06-20 09:50:54,2010-09-10 07:47:35
1974122000333,159626751010661,1997,54,35,7261.0,726,1,2,6,8,1997,1.0,182,1.0,1.0,1.0,2.0,1,,0,,2008-06-20 09:50:54,2010-09-10 07:47:35
1974123000333,159626753010661,1997,54,39,3131.0,313,1,2,11,8,1997,1.0,186,3.0,1.0,1.0,0.0,1,,0,,2008-06-20 09:50:54,2010-09-10 07:47:35
1974136000333,159626755010661,1997,54,39,6961.0,696,1,2,4,8,1997,1.0,0,1.0,1.0,1.0,0.0,1,,0,,2008-06-20 09:50:54,2010-09-10 07:47:35
